indicatorId,geoUnit,year,value,qualifier,magnitude
CR.3,AFG,2011,13.71895980834961,,
CR.3,AFG,2015,22.69832038879395,,
CR.3,AFG,2022,26.69584083557129,,
CR.3,AGO,2015,18.74578094482422,,
CR.3,ALB,2000,46.58,,
CR.3,ALB,2005,46.95,,
CR.3,ALB,2009,48.16764068603516,,
CR.3,ALB,2017,60.41313934326172,,
CR.3,ARG,2000,57.09999999999999,,
CR.3,ARG,2001,57.2,,
CR.3,ARG,2002,57.49999999999999,,
CR.3,ARG,2003,57.7,,
CR.3,ARG,2004,57.9,,
CR.3,ARG,2005,58.09999999999999,,
CR.3,ARG,2006,59.3,,
CR.3,ARG,2007,60.8,,
CR.3,ARG,2008,62.1,,
CR.3,ARG,2009,62.5,,
CR.3,ARG,2010,56.83102035522461,,
CR.3,ARG,2011,62.8,,
CR.3,ARG,2012,62.5,,
CR.3,ARG,2013,62.3,,
CR.3,ARG,2014,62.2,,
CR.3,ARG,2016,62.7,,
CR.3,ARG,2017,63,,
CR.3,ARG,2018,63.4,,
CR.3,ARG,2019,63.8,,
CR.3,ARG,2020,64.3,,
CR.3,ARM,2000,85.05,,
CR.3,ARM,2011,93.04727935791016,,
CR.3,ARM,2018,77.99000000000001,,
CR.3,ARM,2020,96.5172119140625,,
CR.3,ARM,2022,93.94898223876953,,
CR.3,AUS,2010,85.02,,
CR.3,AUS,2014,86.65,,
CR.3,AUS,2016,87.3,,
CR.3,AUS,2018,90.31,,
CR.3,AUT,2006,84.14,,
CR.3,AUT,2007,82.84,,
CR.3,AUT,2008,83.25,,
CR.3,AUT,2009,84.76,,
CR.3,AUT,2010,84.34,,
CR.3,AUT,2011,84.06,,
CR.3,AUT,2012,84.78999999999999,,
CR.3,AUT,2013,85.85000000000001,,
CR.3,AUT,2014,88.59,,
CR.3,AUT,2015,88.03999999999999,,
CR.3,AUT,2016,88.78,,
CR.3,AUT,2017,86.49,,
CR.3,AUT,2018,86.53999999999999,,
CR.3,AUT,2019,85.84,,
CR.3,AUT,2020,84.61,,
CR.3,AUT,2021,85.32,,
CR.3,AZE,2000,64.4,,
CR.3,AZE,2006,74.95234680175781,,
CR.3,AZE,2023,82.15354919433594,,
CR.3,BDI,2000,2.933670043945313,,
CR.3,BDI,2005,2.11,,
CR.3,BDI,2010,5.062290191650391,,
CR.3,BDI,2017,7.163159847259521,,
CR.3,BEL,2006,82.25,,
CR.3,BEL,2007,82.24000000000001,,
CR.3,BEL,2008,81.78,,
CR.3,BEL,2009,82.66,,
CR.3,BEL,2010,82.41000000000001,,
CR.3,BEL,2011,80.34,,
CR.3,BEL,2012,83.09,,
CR.3,BEL,2013,82.44,,
CR.3,BEL,2014,83.96000000000001,,
CR.3,BEL,2015,84.48,,
CR.3,BEL,2016,84.5,,
CR.3,BEL,2017,85.41,,
CR.3,BEL,2018,85.88,,
CR.3,BEL,2019,85.3,,
CR.3,BEL,2020,86.6,,
